Kp=0.75;;;;;;;;;;;;;;;;;;;;;;;;;
13:28:56;22.00;;;;;;;;;;;;;;;;;;;;;;;;
13:29:17;22.20;;;;;;;;;;;;;;;;;;;;;;;;
13:29:39;23.00;;;;;;;;;;;;;;;;;;;;;;;;
13:30:00;24.70;;;;;;;;;;;;;;;;;;;;;;;;
13:30:21;27.10;;;;;;;;;;;;;;;;;;;;;;;;
13:30:43;29.80;;;;;;;;;;;;;;;;;;;;;;;;
13:31:04;32.40;;;;;;;;;;;;;;;;;;;;;;;;
13:31:25;34.60;;;;;;;;;;;;;;;;;;;;;;;;
13:31:46;36.20;;;;;;;;;;;;;;;;;;;;;;;;
13:32:08;37.40;;;;;;;;;;;;;;;;;;;;;;;;
13:32:29;38.20;;;;;;;;;;;;;;;;;;;;;;;;
13:32:51;38.50;;;;;;;;;;;;;;;;;;;;;;;;
13:33:33;38.10;;;;;;;;;;;;;;;;;;;;;;;;
13:33:55;37.40;;;;;;;;;;;;;;;;;;;;;;;;
13:34:16;36.70;;;;;;;;;;;;;;;;;;;;;;;;
13:34:38;36.00;;;;;;;;;;;;;;;;;;;;;;;;
13:34:59;35.20;;;;;;;;;;;;;;;;;;;;;;;;
13:36:03;33.70;;;;;;;;;;;;;;;;;;;;;;;;
13:36:24;33.60;;;;;;;;;;;;;;;;;;;;;;;;
13:36:46;33.70;;;;;;;;;;;;;;;;;;;;;;;;
13:37:07;34.00;;;;;;;;;;;;;;;;;;;;;;;;
13:37:28;34.40;;;;;;;;;;;;;;;;;;;;;;;;
13:37:50;34.90;;;;;;;;;;;;;;;;;;;;;;;;
13:38:11;35.40;;;;;;;;;;;;;;;;;;;;;;;;
13:38:32;35.80;;;;;;;;;;;;;;;;;;;;;;;;
13:38:54;36.10;;;;;;;;;;;;;;;;;;;;;;;;
13:39:15;36.30;;;;;;;;;;;;;;;;;;;;;;;;
13:39:36;36.30;;;;;;;;;;;;;;;;;;;;;;;;
13:39:58;36.30;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;KP=0.5;;;;;;;;;;;;;;;;;;;;;;;;
12:39:13;20.10;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:39:34;20.40;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:40:17;22.30;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:40:38;24.70;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:41:21;29.70;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:41:42;31.90;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:42:25;35.00;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:43:08;36.50;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:43:50;36.70;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:44:12;36.50;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:44:33;36.20;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:44:55;35.70;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:45:16;35.20;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:45:59;34.40;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:46:20;33.90;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:47:03;33.40;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:47:24;33.30;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:47:45;33.30;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:48:07;33.40;37.7;;;;;;;;;;;;;;;;;;;;;;;
12:48:28;33.60;37.7;;;;;;;;;;;;;;;;;;;;;;;
